 Height, Width, Verticality, Class
1.09,1.979,0.9403,1
1.08,1.588,0.9209,1
1.22,1.726,0.9099,1
1.21,1.587,0.9396,1
1.09,1.598,0.9488,1
1.09,1.801,0.9241,1
1.22,1.71,0.9126,1
1.09,1.147,0.9913,1
1.09,1.588,0.9446,1
1.22,1.728,0.9421,1
1.24,1.769,0.8804,1
1.08,1.266,0.9326,1
1.09,1.756,0.9107,1
1.31,1.658,0.913,1
1.23,2.165,0.9047,1
1.24,1.665,0.8937,1
1.08,1.508,0.9485,1
1.1,1.854,0.907,1
1.08,1.958,0.9588,1
1.22,1.717,0.8962,1
1.09,1.614,0.9375,1
1.17,1.624,0.8779,1
1.23,1.681,0.8965,1
1.09,1.638,0.9515,1
1.08,1.583,0.9239,1
1.09,1.61,0.9007,1
1.09,1.588,0.9034,1
1.09,1.608,0.9279,1
1.31,1.837,0.8852,1
1.23,1.695,0.9073,1
1.09,1.428,0.9186,1
1.3,1.752,0.8956,1
1.22,1.725,0.9072,1
1.09,1.736,0.9255,1
1.22,2.327,0.8999,1
1.09,1.607,0.9187,1
1.08,2.094,0.9205,1
1.09,1.64,0.8809,1
1.22,1.612,0.886,1
1.22,1.657,0.9086,1
1.24,1.85,0.8944,1
1.09,2.469,0.9201,1
1.08,2.301,0.9193,1
1.09,2.462,0.9005,1
1.12,1.613,0.8996,1
1.09,1.567,0.9145,1
1.07,1.602,0.9317,1
1.08,1.586,0.9369,1
1.09,1.376,0.9356,1
1.1,1.764,0.9117,1
1.23,1.703,0.9038,1
1.22,1.754,0.8969,1
1.22,1.632,0.909,1
1.1,1.778,0.9257,1
1.12,1.599,0.8775,1
1.24,1.397,0.9112,1
1.23,1.705,0.9175,1
1.22,1.666,0.92,1
1.23,1.804,0.8858,1
1.22,2.232,0.9393,1
1.09,1.756,0.929,1
1.09,2.175,0.9075,1
1.22,1.985,0.944,1
1.09,1.599,0.9422,1
1.09,2.328,0.9445,1
1.22,1.751,0.8868,1
1.09,1.882,0.9362,1
1.08,1.585,0.913,1
1.09,1.62,0.9763,1
1.22,1.69,0.9035,1
1.09,1.898,0.9267,1
1.11,2.173,0.8903,1
1.09,1.681,0.8841,1
1.08,1.604,0.9281,1
1.22,1.711,0.9033,1
1.09,1.582,0.9157,1
1.23,1.736,0.9312,1
1.31,1.399,0.8886,1
1.22,1.614,0.8957,1
1.22,1.796,0.9159,1
1.09,1.642,0.8986,0
1.08,1.597,0.9467,0
1.22,2.21,0.9209,0
1.09,1.611,0.8838,0
1.21,1.811,0.9295,0
1.21,1.628,0.8891,0
1.09,1.952,0.9379,0
1.1,1.909,0.9217,0
1.22,2.159,0.8879,0
1.08,1.634,0.9112,0
1.08,1.929,0.961,0
1.1,1.587,0.9053,0
1.22,1.707,0.8865,0
1.09,2.052,0.9229,0
1.1,1.405,0.9564,0
1.08,1.885,0.9565,0
1.11,1.572,0.9205,0
1.22,1.655,0.8916,0
1.22,1.736,0.9222,0
1.21,1.746,0.9314,0
1.22,2.324,0.9022,0
1.09,1.548,0.9178,0
1.09,1.459,0.9607,0
1.1,2.293,0.9014,0
1.12,1.964,0.9143,0
1.22,2.357,0.9059,0
1.09,1.462,0.9079,0
1.1,1.64,0.9,0
1.09,1.61,0.9241,0
1.1,1.243,0.9378,0
1.22,2.323,0.8813,0
1.22,1.67,0.8995,0
1.21,1.886,0.9347,0
1.1,2.11,0.8873,0
1.21,1.722,0.9345,0
1.09,1.927,0.919,0
1.09,1.586,0.8907,0
1.07,1.285,0.9151,0
1.09,1.08,0.9911,0
1.09,1.671,0.9199,0
1.21,1.697,0.9231,0
1.22,1.991,0.8832,0
1.07,1.678,0.9287,0
1.1,1.528,0.9735,0
1.08,1.383,0.9296,0
1.22,1.672,0.9111,0
1.08,1.649,0.9181,0
1.1,1.539,0.9053,0
1.1,1.655,0.9103,0
1.22,1.79,0.9228,0
1.09,2.506,0.9236,0
1.09,1.84,0.9382,0
1.09,1.431,0.9421,0
1.09,1.519,0.9546,0
1.22,1.684,0.9158,0
1.08,1.221,0.9495,0
1.1,1.274,0.9771,0
1.08,1.638,0.9171,0
1.07,1.231,0.9307,0
1.08,1.581,0.9171,0
1.09,1.578,0.9301,0
1.22,1.776,0.9026,0
1.1,1.705,0.9363,0
1.22,1.673,0.9226,0
1.08,1.543,0.941,0
1.22,1.756,0.8878,0
1.07,2.341,0.8947,0
1.09,1.96,0.9267,0
1.21,1.715,0.9053,0
1.09,1.582,0.9623,0
1.22,1.772,0.9266,0
0.96,1.23,0.9356,0
1.09,1.846,0.9406,0
1.09,1.556,0.9432,0
1.09,1.622,0.8993,0
1.22,1.775,0.9059,0
1.22,1.679,0.8875,0
1.09,1.815,0.9251,0
1.08,1.927,0.9313,0
1.31,1.839,0.8753,0
1.08,1.589,0.9303,0
1.22,2.497,0.9067,0
1.22,1.706,0.9137,0
1.1,1.237,0.9179,0
1.08,1.915,0.9037,0
1.08,1.591,0.9364,0
1.12,2.365,0.885,0
1.22,1.82,0.9084,0
1.1,1.758,0.989,0
1.08,1.296,0.9688,0
1.08,1.236,0.8762,0
0.91,0.6016,0.867,0
1.46,0.6106,0.002052,3
1.58,0.6655,0.0001969,3
1.59,0.5353,0.0001817,3
1.59,0.528,0.0007846,3
1.58,0.706,0.005614,3
1.45,0.6762,0.003963,3
1.51,0.6984,0.004859,3
1.49,0.484,0.001119,3
1.49,0.4914,0.006,3
1.51,0.5599,0.005181,3
1.51,0.597,0.001597,3
1.5,0.6121,0.0002525,3
1.5,0.7263,0.00136,3
1.5,0.604,0.0005671,3
1.49,0.6399,0.002439,3
1.39,0.5037,0.009011,3
1.4,0.5672,0.00808,3
1.38,0.543,0.006159,3
1.41,0.524,0.008366,3
1.4,0.5362,0.007955,3
1.4,0.5023,0.01038,3
1.41,0.4387,0.008527,3
1.4,0.5118,0.006113,3
1.39,0.5631,0.003515,3
1.41,0.5544,0.002322,3
1.4,0.4929,0.001627,3
1.41,0.4765,0.001347,3
1.41,0.4275,0.003767,3
1.42,0.5705,0.01064,3
1.42,0.4841,0.02158,3
1.42,0.4059,0.02081,3
1.43,0.5839,0.02458,3
1.41,0.4845,0.01331,3
1.44,0.5845,0.0182,3
1.44,0.5692,0.01492,3
1.44,0.5477,0.01358,3
1.42,0.4801,0.003758,3
1.43,0.4077,0.00488,3
1.43,0.581,0.008953,3
1.23,0.4759,0.01617,3
1.43,0.537,0.03094,3
1.45,0.5331,0.03522,3
1.43,0.5193,0.02312,3
1.43,0.5229,0.02853,3
1.43,0.5651,0.01778,3
1.44,0.5952,0.01751,3
1.44,0.6292,0.01828,3
1.44,0.5863,0.0188,3
1.44,0.5936,0.01562,3
1.44,0.6394,0.01794,3
1.44,0.5829,0.01841,3
1.43,0.6114,0.01779,3
1.43,0.5589,0.02629,3
1.43,0.4284,0.01846,3
1.43,0.4755,0.02923,3
1.43,0.5226,0.03239,3
1.43,0.8237,0.04484,3
1.43,0.6076,0.04323,3
1.43,0.6915,0.04282,3
1.44,0.7445,0.06063,3
1.44,0.8689,0.07033,3
1.43,0.7423,0.05305,3
1.44,0.7117,0.05423,3
1.43,0.6769,0.03789,3
1.43,0.3339,0.03488,3
1.43,0.4258,0.02962,3
1.43,0.4194,0.02247,3
1.43,0.3574,0.01953,3
1.58,0.5085,0.0149,3
1.59,0.5469,0.01087,3
1.6,0.5134,0.0005246,3
1.61,0.4809,0.0007637,3
1.6,0.5464,0.0004883,3
1.59,0.6555,0.002454,3
1.58,0.4602,0.009663,3
1.58,0.5606,0.01354,3
1.55,0.4846,0.06627,3
1.54,0.4597,0.03954,3
1.54,0.5137,0.01327,3
1.54,0.4536,0.01166,3
1.66,0.6137,0.002227,3
1.66,0.5379,0.003425,3
1.66,0.7358,0.02129,3
1.66,0.8885,0.03625,3
1.48,1.101,0.1328,3
1.62,0.5306,0.005514,3
1.63,0.6447,0.01252,3
1.62,0.4705,0.007596,3
1.59,0.4665,9.59E-05,3
1.59,0.5604,0.0003814,3
1.59,0.6171,0.002024,3
1.57,0.3143,0.0003112,3
1.57,0.3787,0.002235,3
1.56,0.4868,0.003428,3
1.57,0.5451,0.009879,3
1.56,0.375,0.003898,3
1.53,0.5997,0.00818,3
1.53,0.5978,0.0009832,3
1.52,0.5782,0.002417,3
1.51,0.4707,0.001683,3
1.5,0.3951,0.004437,3
1.5,0.5578,0.002861,3
1.5,0.5144,0.002058,3
1.65,0.4648,0.002295,3
1.63,0.5212,0.004445,3
1.63,0.5774,0.0004137,3
1.62,0.7151,0.002463,3
1.61,0.6086,0.003684,3
1.61,0.5225,0.0009555,3
1.6,0.5076,0.0001945,3
1.59,0.5092,0.001705,3
1.58,0.5386,0.002398,3
1.49,0.4783,0.003097,3
1.48,0.536,0.0008516,3
1.49,0.4782,0.0007353,3
1.32,0.5648,0.0003018,3
1.48,0.5508,0.003657,3
1.61,0.7518,0.008645,3
1.59,0.4159,0.004205,3
1.58,0.5139,0.005757,3
1.47,0.7946,0.009601,3
1.61,0.8596,0.006849,3
1.58,0.4425,0.000147,3
1.58,0.5509,0.000764,3
1.58,0.5199,0.001142,3
1.57,0.4738,0.0011,3
1.58,0.5311,0.007355,3
1.56,0.5139,0.001349,3
1.55,0.5544,0.0004225,3
1.55,0.7268,0.005418,3
1.55,0.7337,0.004211,3
1.68,0.5564,0.00193,3
1.68,0.5958,0.0004057,3
1.4,0.4742,0.00212,3
1.4,0.5242,0.001637,3
1.53,0.4981,0.001398,3
1.54,0.6703,0.0001898,3
1.55,0.7568,0.00285,3
1.56,0.8946,0.002198,3
1.58,1.03,0.002543,3
1.55,0.4935,0.0003935,3
1.57,0.6193,0.001522,3
1.58,0.6108,0.003965,3
1.56,0.5933,0.001849,3
1.56,0.5012,0.002925,3
1.57,0.6661,0.0009434,3
1.55,0.8106,0.001616,3
1.55,0.9267,0.0008398,3
1.59,0.9154,0.003845,3
1.59,1.017,0.0005195,3
1.57,0.5325,3.09E-05,3
1.58,0.6582,0.0005092,3
1.46,0.64,0.001877,3
1.47,0.6775,0.002914,3
1.58,0.526,2.64E-05,3
1.58,0.8911,0.003009,3
1.48,0.8197,0.002713,3
1.62,0.8073,0.006031,3
1.62,0.9817,0.003577,3
1.63,0.6863,0.0001549,3
1.63,0.6389,0.0001347,3
1.49,0.7602,0.009092,3
1.49,0.5598,0.007081,3
1.64,0.7475,0.009699,3
1.41,0.7105,0.005108,3
1.57,0.7732,0.03656,3
1.56,0.6859,0.00237,3
1.55,0.6999,0.002904,3
1.55,0.5579,0.0008126,3
1.55,0.5599,0.0008512,3
1.43,0.7761,0.002523,3
1.56,0.6293,0.0002264,3
1.58,0.881,0.000839,3
1.42,0.9456,0.0004611,3
1.3,0.8782,0.0006797,3
1.59,0.9553,0.00245,3
1.62,0.8936,0.0009255,3
1.59,0.4397,0.001597,3
1.6,0.5709,0.003399,3
1.6,0.51,0.0005156,3
1.6,0.6186,0.001629,3
1.48,0.592,0.001266,3
1.48,0.5386,0.001883,3
1.48,0.6945,0.01651,3
1.49,0.8391,0.006952,3
1.51,0.4564,0.0002744,3
1.56,0.5884,0.01211,3
1.52,1.457,0.1252,3
1.7,1.608,0.2122,3
1.66,1.693,0.2743,3
1.72,1.169,0.142,3
1.87,1.494,0.155,3
1.78,1.633,0.1642,3
1.79,1.754,0.2182,3
1.59,0.4514,0.002979,3
1.6,0.5531,0.02068,3
1.55,0.5696,0.002025,3
1.46,0.6187,0.006244,3
1.46,0.5358,0.005105,3
1.69,0.5646,0.002499,3
1.55,0.4533,0.005018,3
1.55,0.4099,0.01546,3
1.62,0.5408,0.00709,3
1.55,0.4195,0.01278,3
1.71,0.5608,0.00766,3
1.61,0.6456,0.007039,3
2.49,0.8048,0.08491,3
2.53,1.292,0.01174,3
2.53,0.9327,0.006519,3
2.55,0.5923,0.003497,3
2.57,1.023,0.02374,3
2.57,0.8113,0.007672,3
2.58,0.4877,0.002355,3
2.62,0.6554,0.00016,3
2.62,0.6655,0.002335,3
1.54,0.5511,0.003774,3
1.64,0.5953,0.001069,3
1.64,0.6999,0.002584,3
1.64,0.5952,0.003988,3
1.65,0.5162,0.002605,3
1.65,0.6478,0.001401,3
1.66,0.7086,0.000657,3
1.58,0.535,2.71E-05,3
1.67,0.4782,0.001323,3
1.67,0.5241,0.00213,3
1.66,1.243,0.0383,3
1.66,1.108,0.03076,3
1.66,1.381,0.04094,3
1.69,1.047,0.009671,3
1.69,1.25,0.01004,3
1.69,0.829,0.003468,3
1.7,0.7421,0.003135,3
1.59,0.8254,0.002189,3
1.59,0.7955,0.02593,3
1.6,1.025,0.06111,3
1.53,0.6037,0.01053,3
1.6,0.6331,0.015,3
1.71,0.6389,0.01275,3
1.59,0.6464,0.005323,3
1.62,0.8245,0.003585,3
1.63,0.5821,0.0007893,3
1.64,0.5371,0.000703,3
1.56,0.6052,0.0005699,3
1.65,0.7311,0.001203,3
1.66,0.7267,0.004166,3
1.57,0.6154,0.0026,3
1.59,0.7604,0.0007672,3
1.69,0.6547,0.0003685,3
1.6,0.5356,0.001681,3
1.6,0.5819,0.0004796,3
1.7,0.7167,0.002305,3
1.61,0.7447,0.0003385,3
1.54,0.5485,0.001753,3
1.62,0.6269,0.001513,3
1.71,0.7093,0.002473,3
1.63,0.5503,0.003129,3
1.63,0.5801,0.007608,3
1.65,0.7515,0.01065,3
1.64,0.8771,0.001913,3
1.57,0.4598,0.0007553,3
1.66,0.575,0.002219,3
1.66,0.6496,0.002241,3
1.58,0.4575,0.001922,3
1.59,0.8315,0.002387,3
1.67,0.8639,0.006714,3
1.67,0.7466,0.006464,3
1.6,0.6595,0.000555,3
1.64,0.7846,0.004024,3
1.65,0.7764,0.009465,3
1.57,0.4887,0.003787,3
1.58,0.723,0.001858,3
1.67,0.8682,0.0003347,3
1.59,0.7747,0.002567,3
1.59,0.5807,0.004707,3
1.6,0.8987,0.0003683,3
1.63,0.7648,0.0007955,3
1.54,0.3934,0.00215,3
1.58,0.6048,0.001647,3
1.59,0.7853,0.001641,3
1.59,0.6199,0.0008559,3
1.59,0.5495,0.0001277,3
1.68,0.8178,0.0006244,3
1.5,0.4702,0.0009912,3
1.45,0.7626,0.001818,3
1.56,0.7897,0.0004501,3
1.56,0.4408,0.00278,3
1.56,0.7053,0.001078,3
1.61,0.6194,0.0007218,3
1.49,0.2897,0.0007146,3
1.51,0.506,0.0004305,3
1.66,0.7319,0.003133,3
1.53,0.3937,0.01294,3
1.53,0.8155,0.00293,3
1.62,1.019,0.006916,3
1.6,0.5456,0.0006784,3
1.61,0.6711,0.0009491,3
1.51,0.7165,0.002268,3
1.52,0.4178,0.0003968,3
1.66,0.7838,0.003971,3
1.22,0.9877,0.7875,0
1.09,1.371,0.7863,0
1.1,1.716,0.8851,0
1.08,1.652,0.9152,0
1.09,1.601,0.9235,0
1.21,1.803,0.9487,0
1.08,1.578,0.9331,0
1.22,1.712,0.9193,0
1.1,1.257,0.9225,0
1.1,2.439,0.9339,0
1.22,1.92,0.9265,0
1.09,1.767,0.9355,0
1.21,1.709,0.9671,0
1.1,1.62,0.9221,0
1.23,1.677,0.8913,0
1.08,1.579,0.8931,0
1.22,1.78,0.9556,0
1.08,1.497,0.9157,0
1.09,1.6,0.916,0
1.22,1.679,0.9212,0
1.21,1.724,0.8914,0
1.22,1.714,0.9452,0
