 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Surface Variation, Verticality, Class
1.783,1.09,1.597,0.4606,0.1283,0.7831,0.6116,0.9095,1
2.463,1.22,1.681,0.5833,0.1628,0.8606,0.5876,0.9174,1
2.007,1.08,1.485,0.4603,0.1292,0.7869,0.6018,0.9323,1
1.934,1.07,1.58,0.4635,0.1283,0.784,0.609,0.9411,1
2.5,1.23,1.59,0.5919,0.1615,0.851,0.6124,0.9129,1
1.525,1.08,1.609,0.4686,0.1302,0.7886,0.6081,0.9254,1
1.928,1.08,1.553,0.4671,0.1291,0.7871,0.6043,0.9586,1
2.37,1.09,1.595,0.5773,0.1554,0.8367,0.6248,0.9153,1
1.709,1.23,1.981,0.4894,0.1396,0.8154,0.5809,0.9084,1
1.682,1.21,2.456,0.5973,0.1642,0.8602,0.5954,0.9123,1
1.356,1.09,1.996,0.4734,0.1315,0.791,0.6121,0.9084,1
2.075,1.22,1.799,0.6064,0.1654,0.8596,0.6024,0.8934,1
2.407,1.09,1.607,0.5769,0.1551,0.8376,0.62,0.9023,1
1.701,1.23,1.697,0.4932,0.1414,0.8199,0.5776,0.903,1
1.697,1.17,2.355,0.594,0.1583,0.8432,0.6176,0.8917,1
1.675,1.09,1.394,0.4715,0.1307,0.7898,0.6089,0.9189,1
1.647,1.31,1.81,0.5154,0.1455,0.8291,0.5789,0.8892,1
2.416,1.09,1.911,0.573,0.1554,0.8425,0.605,0.925,1
1.799,1.09,1.767,0.4912,0.1348,0.8019,0.6003,0.9298,1
1.452,1.22,1.71,0.492,0.1418,0.8211,0.575,0.8962,1
2.166,1.08,1.591,0.5625,0.1497,0.8264,0.6262,0.941,1
2.446,1.24,1.739,0.6233,0.1705,0.8654,0.6098,0.8914,1
1.714,1.09,2.031,0.5621,0.1505,0.8294,0.6207,0.913,1
1.582,1.09,2.528,0.599,0.1602,0.8439,0.6259,0.9032,1
2.496,1.22,1.696,0.6152,0.1661,0.8568,0.6142,0.8925,1
1.702,1.12,1.609,0.4741,0.1317,0.7925,0.6075,0.9211,1
1.845,1.1,1.647,0.4514,0.121,0.765,0.622,0.909,1
1.971,1.09,1.566,0.4657,0.1297,0.7877,0.6059,0.9414,1
2.512,1.22,1.73,0.6003,0.1637,0.8556,0.6082,0.9069,1
1.906,1.09,1.474,0.4876,0.1358,0.8054,0.5916,0.9495,1
1.918,1.09,1.629,0.4519,0.123,0.77,0.6176,0.9174,1
2.406,1.12,1.601,0.5455,0.1475,0.8242,0.6201,0.8747,1
2.484,1.09,1.896,0.575,0.1553,0.8417,0.6061,0.9131,1
2.489,1.24,1.717,0.6026,0.1644,0.8576,0.6045,0.9153,1
2.115,1.09,1.798,0.5942,0.1575,0.8378,0.6301,0.9073,1
1.908,1.09,1.64,0.4479,0.1189,0.7598,0.6244,0.9207,1
2.489,1.09,1.481,0.579,0.1544,0.8344,0.6263,0.8977,1
2.491,1.24,1.68,0.6061,0.1681,0.8675,0.5932,0.897,1
1.71,1.09,1.798,0.4871,0.1322,0.7962,0.6018,0.9515,1
1.986,1.08,1.549,0.4631,0.1275,0.7828,0.6069,0.9465,1
2.27,1.09,1.566,0.565,0.1503,0.8265,0.6288,0.9527,1
1.705,1.08,1.53,0.4789,0.1321,0.7949,0.6025,0.9156,1
2.531,1.09,1.621,0.6095,0.1623,0.8457,0.629,0.9038,1
2.502,1.22,1.697,0.6031,0.1649,0.859,0.6027,0.9149,1
2.383,1.1,1.675,0.6015,0.1606,0.8461,0.6198,0.8999,1
2.471,1.23,1.731,0.5836,0.1642,0.8639,0.5854,0.9085,1
1.846,1.09,1.649,0.465,0.1283,0.7841,0.6096,0.9603,1
2.336,1.1,1.565,0.5477,0.1503,0.8317,0.6121,0.8956,1
2.494,1.24,1.71,0.6092,0.1671,0.8615,0.6071,0.8899,1
1.408,1.21,1.914,0.5026,0.1425,0.8206,0.5886,0.9205,1
1.526,1.31,1.78,0.509,0.1428,0.8221,0.5862,0.8844,1
1.58,1.09,1.617,0.4742,0.131,0.7905,0.6106,0.9513,1
2.27,1.24,1.62,0.6041,0.1677,0.8661,0.5962,0.9018,1
2.494,1.09,1.848,0.577,0.1534,0.8364,0.6123,0.9135,1
1.809,1.09,1.608,0.4677,0.1288,0.7847,0.6132,0.9118,1
1.915,1.08,1.653,0.4587,0.1252,0.7771,0.6094,0.95,1
2.489,1.11,1.629,0.5998,0.1606,0.8471,0.6174,0.8989,1
2.542,1.09,1.537,0.5647,0.1521,0.8328,0.6194,0.8739,1
1.886,1.22,1.837,0.495,0.1391,0.8144,0.5827,0.951,1
1.803,1.12,1.6,0.4741,0.1328,0.7955,0.6039,0.898,1
2.316,1.1,1.662,0.5902,0.1598,0.848,0.6115,0.8962,1
2.015,1.21,1.732,0.5068,0.1437,0.8239,0.5851,0.9082,1
1.716,1.22,1.729,0.492,0.1394,0.8142,0.5849,0.9281,1
2.391,1.22,1.684,0.6028,0.1669,0.8641,0.5984,0.9007,1
1.67,1.31,1.985,0.5081,0.1431,0.823,0.5838,0.8915,1
1.682,1.18,1.815,0.4987,0.1363,0.8054,0.6013,0.8747,1
1.62,1.21,1.95,0.4998,0.1424,0.8216,0.5821,0.9364,1
1.631,1.22,1.526,0.5019,0.1438,0.8239,0.585,0.9008,1
1.515,1.22,1.67,0.503,0.1424,0.8194,0.5941,0.9123,1
1.707,1.09,2.359,0.5295,0.1271,0.7533,0.7168,0.9434,1
2.446,1.22,1.677,0.6099,0.1658,0.859,0.6063,0.9212,1
1.486,1.21,1.849,0.4936,0.1397,0.8148,0.586,0.9344,1
1.881,1.09,1.596,0.4659,0.1288,0.7845,0.613,0.9173,1
1.374,1.12,1.691,0.3885,0.09876,0.6907,0.6901,0.9705,1
0.8681,1.1,1.813,0.361,0.08853,0.6587,0.7042,0.9806,1
1.042,1.09,1.7,0.3369,0.08177,0.6365,0.7047,0.9766,1
1.222,1.08,1.245,0.3279,0.07787,0.6258,0.7029,0.9632,1
2.123,1.08,0.9204,0.4332,0.09124,0.6636,0.7641,0.9088,1
2.116,1.07,0.6053,0.4117,0.0733,0.6188,0.7938,0.9183,1
2.083,0.92,0.5942,0.4061,0.06103,0.599,0.8002,0.9378,1
2.071,0.9,0.3644,0.3606,0.04982,0.5722,0.7956,0.9348,1
2.178,1.41,2.234,0.8018,0.2082,0.8718,0.6535,0.8911,1
2.807,1.42,2.296,0.8772,0.2344,0.9078,0.609,0.9133,1
2.416,1.48,2.448,0.8823,0.2443,0.942,0.5563,0.8471,1
2.431,1.49,2.396,0.9157,0.2611,0.9668,0.5236,0.872,1
1.982,1.49,1.722,0.6413,0.1931,0.9297,0.5097,0.8037,1
2.23,1.48,2.456,0.8061,0.2329,0.9654,0.4864,0.8169,1
2.493,1.48,2.009,0.7452,0.2114,0.9404,0.5072,0.7405,1
2.335,1.47,2.006,0.6928,0.1869,0.888,0.5947,0.6982,1
1.38,1.46,2.253,0.5863,0.127,0.7269,0.7629,0.7495,1
1.323,1.45,2.1,0.5821,0.1362,0.7634,0.7242,0.7383,1
1.824,1.46,2.226,0.6358,0.1489,0.7722,0.7345,0.7766,1
1.82,1.47,2.229,0.6562,0.156,0.7841,0.7278,0.7941,1
1.463,1.61,2.417,0.6791,0.1525,0.7593,0.7503,0.7756,1
1.627,1.61,2.375,0.7233,0.1604,0.7559,0.7559,0.8109,1
2.221,1.44,2.109,0.7422,0.1613,0.743,0.7669,0.8121,1
2.673,1.45,1.731,0.8304,0.1831,0.7476,0.7605,0.8471,1
2.721,1.43,1.706,0.8765,0.1799,0.6948,0.7882,0.8479,1
2.874,1.59,1.72,0.9921,0.2012,0.6544,0.7929,0.8377,1
2.85,1.42,1.703,1.058,0.2055,0.5967,0.8084,0.8757,1
2.497,1.41,2.179,1.083,0.195,0.5345,0.8289,0.8685,1
3.013,1.42,1.782,1.209,0.2116,0.4409,0.8372,0.8899,1
2.975,1.41,2.167,1.389,0.2221,0.237,0.8604,0.9177,1
1.427,1.21,1.704,0.4865,0.1382,0.8122,0.5803,0.9263,1
2.102,1.22,1.775,0.6124,0.1656,0.8565,0.6132,0.8943,1
1.629,1.09,1.972,0.4714,0.1293,0.7855,0.6161,0.9723,1
1.545,1.09,2.261,0.5338,0.1254,0.7457,0.7273,0.9309,1
2.446,1.08,1.715,0.5686,0.1544,0.8404,0.6063,0.9263,1
1.266,1.09,1.745,0.4619,0.1277,0.7831,0.6064,0.954,1
1.842,1.09,1.649,0.4514,0.1216,0.7675,0.6162,0.9368,1
1.967,1.09,1.739,0.4778,0.1304,0.7924,0.5976,0.9228,1
2.039,1.21,1.713,0.5051,0.1419,0.8204,0.5845,0.9127,1
2.409,1.08,1.692,0.5907,0.1585,0.8442,0.6158,0.9214,1
2.396,1.22,1.711,0.5807,0.1612,0.8581,0.5854,0.9195,1
1.956,1.23,1.925,0.5817,0.1619,0.858,0.5911,0.9117,1
2.229,1.23,1.834,0.6018,0.1652,0.8607,0.5989,0.9046,1
2.371,1.23,1.688,0.6078,0.1671,0.862,0.6053,0.8935,1
1.756,1.22,1.668,0.5093,0.1435,0.8225,0.5912,0.9174,1
1.718,1.24,2.355,0.6057,0.1662,0.8619,0.6003,0.8977,1
2.262,1.22,1.672,0.5832,0.1601,0.853,0.5967,0.9289,1
1.977,1.09,1.576,0.4461,0.1211,0.766,0.6142,0.9465,1
1.929,1.08,1.602,0.4647,0.1299,0.7883,0.6045,0.9451,1
2.498,1.24,1.701,0.6148,0.1676,0.8623,0.605,0.8951,1
2.289,1.1,1.572,0.5633,0.1513,0.8299,0.6243,0.9046,1
1.649,1.22,2.464,0.6148,0.1667,0.8604,0.6056,0.9054,1
1.453,1.09,1.761,0.4849,0.1313,0.7947,0.5992,0.9591,1
1.594,1.09,2.539,0.5989,0.1614,0.8469,0.6236,0.894,1
2.393,1.18,1.7,0.59,0.1598,0.8475,0.6135,0.8977,1
1.44,1.31,1.834,0.5138,0.1444,0.8256,0.5855,0.8929,1
1.446,1.09,2.399,0.5244,0.1265,0.7527,0.7156,0.9446,1
1.605,1.22,1.942,0.4908,0.1388,0.8134,0.5832,0.9031,1
1.651,1.22,2.388,0.603,0.1634,0.8539,0.6108,0.8963,1
1.946,1.12,1.339,0.4688,0.1297,0.7866,0.6129,0.9082,1
2.409,1.12,1.494,0.5557,0.1507,0.8296,0.622,0.8867,1
2.402,1.09,1.945,0.5754,0.155,0.8422,0.6022,0.9204,1
2.525,1.21,1.684,0.5991,0.1629,0.8542,0.608,0.9271,1
1.571,1.08,1.605,0.4787,0.1316,0.7915,0.6136,0.9231,1
1.862,1.09,1.595,0.4706,0.13,0.7879,0.6106,0.9378,1
2.431,1.1,1.623,0.5699,0.1508,0.8262,0.6327,0.9235,1
1.597,1.1,1.49,0.4727,0.1323,0.7929,0.61,0.9125,1
2.168,1.1,1.674,0.5811,0.1567,0.8403,0.6204,0.916,1
1.476,1.09,1.906,0.4805,0.133,0.7986,0.5939,0.9153,1
1.662,1.22,2.236,0.6173,0.1673,0.8597,0.6109,0.9025,1
1.521,1.08,1.611,0.4683,0.1294,0.786,0.6135,0.9233,1
1.935,1.08,1.642,0.4617,0.126,0.7793,0.6087,0.9508,1
1.779,1.2,1.362,0.5005,0.1414,0.8191,0.584,0.9425,1
1.814,1.08,1.383,0.4932,0.1337,0.799,0.6046,0.936,1
1.944,1.1,1.692,0.4741,0.1314,0.7937,0.5991,0.9031,1
1.583,1.08,1.86,0.4652,0.1279,0.7825,0.6133,0.9558,1
2.417,1.22,1.758,0.6164,0.1654,0.8549,0.615,0.8844,1
2.398,1.23,1.649,0.5847,0.1633,0.8614,0.5877,0.919,1
1.892,1.24,2.16,0.6067,0.1677,0.8654,0.5979,0.893,1
1.402,1.1,2.455,0.5053,0.123,0.7471,0.7128,0.9617,1
1.969,1.09,1.602,0.4681,0.1292,0.7861,0.6105,0.9295,1
1.646,1.22,2.333,0.5761,0.1601,0.8558,0.5873,0.9022,1
2.496,1.23,1.779,0.6116,0.1663,0.8588,0.61,0.8703,1
1.967,1.21,1.973,0.6141,0.1667,0.86,0.6074,0.8818,1
1.813,1.1,1.598,0.4825,0.1336,0.7955,0.6149,0.911,1
1.696,1.22,2.432,0.597,0.1633,0.856,0.6043,0.9077,1
2.507,1.21,1.743,0.5871,0.1613,0.8547,0.5986,0.9046,1
1.899,1.09,1.832,0.4997,0.1343,0.7991,0.6125,0.9418,1
1.352,1.09,2.428,0.5065,0.122,0.7448,0.7144,0.9681,1
0.9117,0.91,1.791,0.3289,0.07881,0.6248,0.7151,0.7898,1
1.045,0.9,1.652,0.2933,0.06848,0.5872,0.7171,0.7318,1
1.645,1.22,1.921,0.4458,0.1291,0.7915,0.5591,0.6962,1
1.646,1.1,2.084,0.4645,0.1161,0.7377,0.6949,0.9121,1
1.926,1.09,1.919,0.5551,0.1486,0.8252,0.6235,0.9111,1
1.731,1.31,2.031,0.5143,0.1455,0.8289,0.5804,0.8587,1
2.108,1.22,1.843,0.5817,0.1618,0.8578,0.5914,0.9338,1
1.874,1.21,1.519,0.4975,0.1405,0.8171,0.5845,0.9475,1
1.685,1.22,2.469,0.6021,0.1642,0.8586,0.5991,0.8959,1
2.202,1.08,1.621,0.5588,0.1497,0.8277,0.6218,0.8981,1
1.833,1.09,2.512,0.5715,0.1542,0.8408,0.6025,0.9224,1
1.574,1.22,2.537,0.5832,0.1579,0.8425,0.6205,0.9263,1
1.528,1.09,1.6,0.4655,0.1287,0.7843,0.6129,0.915,1
1.739,1.1,2.487,0.5886,0.1568,0.84,0.6204,0.8861,1
1.89,1.09,1.246,0.486,0.1333,0.7995,0.5955,0.9233,1
1.842,1.09,1.832,0.485,0.131,0.7936,0.6021,0.9429,1
2.473,1.21,1.675,0.5982,0.1643,0.8599,0.5964,0.9247,1
2.496,1.21,1.725,0.5691,0.1571,0.848,0.597,0.9196,1
2.466,1.11,1.556,0.5445,0.1495,0.8304,0.6113,0.8858,1
2.457,1.22,1.718,0.6137,0.1661,0.8576,0.6122,0.8937,1
1.985,1.1,1.784,0.5397,0.147,0.8242,0.6168,0.9066,1
1.816,1.1,1.598,0.4647,0.1318,0.7938,0.5968,0.9056,1
2.473,1.22,1.658,0.5927,0.1626,0.8546,0.6062,0.9158,1
2.412,1.09,1.685,0.5834,0.157,0.8405,0.6213,0.9076,1
2.527,1.09,1.552,0.5657,0.1526,0.8325,0.6235,0.9386,1
1.725,1.1,1.592,0.468,0.1314,0.7922,0.6025,0.9275,1
1.674,1.09,1.828,0.4847,0.1316,0.7962,0.5946,0.9396,1
1.937,1.21,1.597,0.4978,0.1415,0.8197,0.5812,0.9008,1
1.502,1.21,1.855,0.4924,0.1397,0.8163,0.5773,0.9324,1
2.469,1.24,1.679,0.6064,0.1668,0.8639,0.597,0.9027,1
2.318,1.21,1.704,0.5851,0.1616,0.8569,0.5924,0.9154,1
1.614,1.11,2.53,0.5971,0.1598,0.8436,0.6246,0.8866,1
1.91,1.09,1.598,0.4469,0.1207,0.7654,0.6138,0.9385,1
2.112,1.24,1.907,0.6244,0.1692,0.8623,0.6115,0.8873,1
1.863,1.08,1.322,0.4855,0.1343,0.8004,0.6006,0.8987,1
1.858,1.08,1.604,0.4817,0.1305,0.7872,0.624,0.9649,1
1.647,1.09,1.811,0.4894,0.1337,0.7988,0.6039,0.955,1
1.736,1.22,1.772,0.4943,0.1395,0.8135,0.5908,0.928,1
2.425,1.22,1.718,0.5987,0.1633,0.8548,0.6086,0.9078,1
2.026,1.22,1.653,0.5103,0.1435,0.8233,0.5869,0.9418,1
1.842,1.08,1.576,0.4658,0.1294,0.7866,0.6087,0.9227,1
2.467,1.22,1.664,0.5968,0.1644,0.8606,0.5948,0.9024,1
1.709,1.23,1.972,0.4878,0.1391,0.8142,0.5809,0.9112,1
1.695,1.22,2.505,0.5816,0.1611,0.8564,0.591,0.9223,1
1.375,1.09,1.884,0.4974,0.134,0.799,0.6091,0.9348,1
1.81,1.22,2.281,0.5935,0.1629,0.8557,0.6046,0.9176,1
2.505,1.22,1.715,0.6033,0.165,0.8598,0.5998,0.9123,1
1.682,1.22,2.528,0.5982,0.1639,0.8566,0.6064,0.934,1
1.884,1.1,1.581,0.464,0.1295,0.7871,0.6064,0.9078,1
1.707,1.1,1.607,0.4774,0.1327,0.7944,0.6102,0.9335,1
1.297,1.08,2.009,0.4683,0.131,0.7906,0.6066,0.9113,1
2.522,1.22,1.743,0.5822,0.1614,0.8582,0.5859,0.9142,1
2.196,1.09,1.571,0.5538,0.1486,0.8258,0.6215,0.9184,1
1.974,1.09,1.463,0.4698,0.1294,0.7858,0.6144,0.9375,1
1.859,1.09,1.947,0.5369,0.1429,0.8133,0.628,0.8825,1
1.493,1.08,1.955,0.4767,0.1314,0.7939,0.599,0.9285,1
2.533,1.22,1.645,0.6069,0.1651,0.8563,0.6127,0.9048,1
2.325,1.09,1.886,0.5754,0.155,0.8401,0.6101,0.9137,1
1.687,1.09,1.613,0.4707,0.1306,0.7887,0.6134,0.9202,1
1.503,1.22,1.634,0.4878,0.1401,0.8163,0.58,0.9043,1
1.728,1.08,1.26,0.4588,0.1256,0.7786,0.6064,0.9499,1
2.258,1.1,1.638,0.5849,0.1571,0.8427,0.6136,0.9079,1
2.548,1.23,1.759,0.5773,0.1612,0.8567,0.5924,0.8884,1
1.69,1.23,2.11,0.6047,0.165,0.8594,0.6017,0.9102,1
1.791,1.08,1.737,0.4794,0.1318,0.7951,0.5987,0.9345,1
1.765,1.09,1.242,0.4074,0.09934,0.6898,0.7148,0.9603,1
0.9236,0.91,1.791,0.3388,0.08256,0.6367,0.7123,0.8559,1
2.065,0.92,1.349,0.4299,0.09298,0.674,0.7442,0.8589,1
0.8919,0.9,1.136,0.1962,0.04138,0.4791,0.5954,0.9114,1
2.056,1.1,1.128,0.3929,0.09555,0.6832,0.7011,0.9539,1
1.572,1.09,1.977,0.4761,0.133,0.7949,0.6092,0.8981,1
1.593,1.09,2.007,0.4859,0.1346,0.7987,0.6114,0.9183,1
1.592,1.09,1.787,0.4954,0.1341,0.7989,0.61,0.9365,1
1.834,1.08,1.609,0.4705,0.1291,0.7861,0.6114,0.9503,1
1.938,1.09,1.565,0.4758,0.1329,0.795,0.608,0.9467,1
1.58,1.08,1.665,0.4638,0.1265,0.781,0.6067,0.9573,1
2.488,1.23,1.706,0.6075,0.166,0.8611,0.6009,0.928,1
1.754,1.21,1.375,0.5004,0.1422,0.8202,0.587,0.9135,1
1.74,1.1,2.442,0.5942,0.1597,0.8458,0.6176,0.914,1
1.67,1.08,2.391,0.522,0.1245,0.7475,0.7194,0.9545,1
1.793,1.23,2.075,0.5962,0.1647,0.8601,0.6002,0.9025,1
1.364,1.09,1.877,0.4825,0.1309,0.793,0.6025,0.9171,1
2.407,1.12,1.62,0.5493,0.1511,0.8335,0.6105,0.8712,1
1.628,1.22,1.503,0.5044,0.1432,0.8228,0.5853,0.9223,1
1.544,1.09,1.754,0.4897,0.1321,0.7953,0.6056,0.9444,1
2.133,1.09,1.942,0.5783,0.1539,0.8392,0.6053,0.9019,1
1.825,1.09,1.255,0.4758,0.1323,0.7926,0.6129,0.9452,1
1.688,1.22,2.286,0.5828,0.1628,0.8595,0.5916,0.9199,1
2.427,1.09,1.883,0.5769,0.1557,0.8414,0.6107,0.9125,1
1.871,1.1,1.572,0.4734,0.13,0.7872,0.6155,0.94,1
2.515,1.08,1.563,0.5706,0.1529,0.8334,0.6212,0.8758,1
2.509,1.23,1.731,0.5976,0.1632,0.8556,0.6052,0.9042,1
1.656,1.23,2.267,0.5948,0.1626,0.8547,0.6055,0.9093,1
1.645,1.1,2.15,0.5839,0.1576,0.8426,0.6179,0.9108,1
1.841,1.12,1.621,0.4798,0.1341,0.7978,0.6083,0.9267,1
1.827,1.09,1.864,0.4813,0.1328,0.7985,0.5934,0.9347,1
1.809,1.09,1.644,0.4759,0.1304,0.7934,0.591,0.9431,1
1.817,1.09,1.631,0.4685,0.129,0.786,0.6098,0.9681,1
1.24,1.1,1.932,0.4667,0.1303,0.7885,0.6087,0.927,1
1.924,1.1,2.041,0.5233,0.1262,0.7524,0.7151,0.9431,1
1.192,1.08,1.89,0.4637,0.1287,0.7849,0.6089,0.9224,1
1.687,1.22,2.143,0.6172,0.1652,0.8518,0.6237,0.8934,1
1.709,1.09,2.336,0.5301,0.127,0.7521,0.7189,0.9328,1
1.655,1.21,1.777,0.4984,0.139,0.8123,0.5931,0.9426,1
1.24,1.1,1.774,0.4645,0.1252,0.775,0.6234,0.9267,1
1.574,0.96,1.544,0.4634,0.1247,0.773,0.6268,0.9376,1
1.599,1.09,1.43,0.4085,0.1013,0.6966,0.7051,0.9761,1
2.467,1.1,1.706,0.6152,0.1622,0.8426,0.6358,0.8931,1
1.74,1.22,1.637,0.4905,0.1399,0.8156,0.5835,0.8998,1
2.462,1.1,1.621,0.5458,0.1488,0.829,0.6112,0.9012,1
1.896,1.09,1.722,0.4832,0.1335,0.7994,0.5967,0.94,1
2.425,1.09,1.674,0.5871,0.1584,0.8441,0.6168,0.9091,1
1.242,1.08,1.92,0.468,0.131,0.7906,0.6066,0.9309,1
1.83,1.08,1.597,0.4716,0.131,0.7912,0.6062,0.9404,1
1.861,1.09,2.159,0.5232,0.1258,0.7513,0.7163,0.9437,1
2.537,1.09,1.659,0.5878,0.1568,0.8387,0.6245,0.9026,1
1.375,1.09,1.912,0.4885,0.1321,0.7956,0.6041,0.9395,1
2.445,1.09,1.55,0.5453,0.1492,0.8293,0.6131,0.8867,1
1.996,1.08,1.548,0.4676,0.1294,0.7861,0.6119,0.922,1
