 Height, Width, Verticality, Class
1.09,1.979,0.9403,1
1.08,1.588,0.9209,1
1.22,1.726,0.9099,1
1.21,1.587,0.9396,1
1.09,1.598,0.9488,1
1.09,1.801,0.9241,1
1.22,1.71,0.9126,1
1.09,1.147,0.9913,1
1.09,1.588,0.9446,1
1.22,1.728,0.9421,1
1.24,1.769,0.8804,1
1.08,1.266,0.9326,1
1.09,1.756,0.9107,1
1.31,1.658,0.913,1
1.23,2.165,0.9047,1
1.24,1.665,0.8937,1
1.08,1.508,0.9485,1
1.1,1.854,0.907,1
1.08,1.958,0.9588,1
1.22,1.717,0.8962,1
1.09,1.614,0.9375,1
1.17,1.624,0.8779,1
1.23,1.681,0.8965,1
1.09,1.638,0.9515,1
1.08,1.583,0.9239,1
1.09,1.61,0.9007,1
1.09,1.588,0.9034,1
1.09,1.608,0.9279,1
1.31,1.837,0.8852,1
1.23,1.695,0.9073,1
1.09,1.428,0.9186,1
1.3,1.752,0.8956,1
1.22,1.725,0.9072,1
1.09,1.736,0.9255,1
1.22,2.327,0.8999,1
1.09,1.607,0.9187,1
1.08,2.094,0.9205,1
1.09,1.64,0.8809,1
1.22,1.612,0.886,1
1.22,1.657,0.9086,1
1.24,1.85,0.8944,1
1.09,2.469,0.9201,1
1.08,2.301,0.9193,1
1.09,2.462,0.9005,1
1.12,1.613,0.8996,1
1.09,1.567,0.9145,1
1.07,1.602,0.9317,1
1.08,1.586,0.9369,1
1.09,1.376,0.9356,1
1.1,1.764,0.9117,1
1.23,1.703,0.9038,1
1.22,1.754,0.8969,1
1.22,1.632,0.909,1
1.1,1.778,0.9257,1
1.12,1.599,0.8775,1
1.24,1.397,0.9112,1
1.23,1.705,0.9175,1
1.22,1.666,0.92,1
1.23,1.804,0.8858,1
1.22,2.232,0.9393,1
1.09,1.756,0.929,1
1.09,2.175,0.9075,1
1.22,1.985,0.944,1
1.09,1.599,0.9422,1
1.09,2.328,0.9445,1
1.22,1.751,0.8868,1
1.09,1.882,0.9362,1
1.08,1.585,0.913,1
1.09,1.62,0.9763,1
1.22,1.69,0.9035,1
1.09,1.898,0.9267,1
1.11,2.173,0.8903,1
1.09,1.681,0.8841,1
1.08,1.604,0.9281,1
1.22,1.711,0.9033,1
1.09,1.582,0.9157,1
1.23,1.736,0.9312,1
1.31,1.399,0.8886,1
1.22,1.614,0.8957,1
1.22,1.796,0.9159,1
1.1,1.706,0.897,1
1.1,1.271,0.9174,1
1.22,1.694,0.9331,1
1.09,1.989,0.9196,1
1.17,1.771,0.88,1
1.24,1.68,0.8917,1
1.21,1.917,0.9165,1
1.09,1.726,0.938,1
1.24,2.464,0.8876,1
1.08,1.272,0.9475,1
1.24,2.472,0.8771,1
1.22,1.882,0.9177,1
1.08,2.425,0.9266,1
1.23,1.691,0.9161,1
1.08,1.571,0.9301,1
1.09,1.834,0.944,1
1.24,1.733,0.883,1
1.22,1.589,0.9306,1
1.09,1.577,0.9093,1
1.31,1.799,0.888,1
1.08,1.217,0.9274,1
1.1,1.785,0.9016,1
1.11,1.996,0.9141,1
1.24,2.153,0.8946,1
1.23,1.827,0.9357,1
1.09,1.61,0.9177,1
1.09,1.668,0.9618,1
1.08,1.972,0.9224,1
1.09,1.605,0.9155,1
1.22,1.68,0.9389,1
1.09,1.627,0.9567,1
1.22,1.705,0.901,1
1.1,1.606,0.9169,1
1.21,1.646,0.9162,1
1.3,2.373,0.8777,1
1.08,2.261,0.9439,1
1.25,1.607,0.9091,1
1.08,1.841,0.931,1
1.12,2.197,0.8932,1
1.09,1.58,0.9416,1
1.22,1.895,0.9008,1
1.22,1.733,0.9131,1
1.21,1.682,0.9282,1
1.09,1.639,0.9003,1
1.09,1.585,0.9278,1
1.24,2.261,0.8918,1
1.09,1.612,0.9181,1
1.09,2.537,0.9453,1
1.22,1.706,0.922,1
1.24,2.498,0.8833,1
1.09,1.856,0.9222,1
1.09,1.596,0.9205,1
1.24,1.771,0.8829,1
1.09,1.823,0.9331,1
1.09,2.159,0.9543,1
1.22,1.682,0.9162,1
1.09,2.486,0.8877,1
1.12,2.492,0.9314,1
1.22,1.719,0.9,1
1.09,1.897,0.9155,1
1.09,1.653,0.9203,1
1.24,1.694,0.896,1
1.24,2.214,0.8893,1
1.23,1.728,0.9454,1
1.09,2.135,0.9198,1
1.09,1.343,0.9969,1
1.23,1.851,0.9334,1
1.1,1.725,0.9231,1
1.09,1.571,0.997,1
1.09,1.588,0.9035,1
1.12,1.568,0.8985,1
1.17,1.561,0.91,1
1.22,1.718,0.9069,1
1.21,1.702,0.8997,1
1.08,2.377,0.9206,1
1.08,1.727,0.9136,1
1.09,1.575,0.8792,1
1.09,1.612,0.9295,1
1.09,1.636,0.9542,1
1.22,1.727,0.902,1
1.23,1.698,0.9239,1
1.21,1.744,0.9396,1
1.09,1.593,0.9281,1
1.23,1.717,0.9175,1
1.09,1.961,0.9163,1
1.12,1.6,0.8887,1
1.24,1.691,0.885,1
1.23,1.556,0.9364,1
1.23,1.723,0.9271,1
1.22,1.594,0.8892,1
1.08,1.789,0.9094,1
1.22,2.436,0.8867,1
1.23,2.343,0.8884,1
1.21,1.703,0.9505,1
1.22,1.698,0.9087,1
1.09,1.809,0.9436,1
1.23,1.726,0.916,1
1.22,1.751,0.8983,1
1.08,1.372,0.9222,1
1.09,1.955,0.8994,1
1.09,1.635,0.9358,1
1.1,2.362,0.9108,1
1.09,1.844,0.9105,1
1.22,1.735,0.9152,1
1.09,1.57,0.9142,1
1.23,1.707,0.9277,1
1.18,1.777,0.882,1
1.09,1.625,0.9119,1
1.23,1.711,0.9124,1
1.09,1.608,0.9291,1
1.07,1.6,0.915,1
1.09,1.889,0.9351,1
1.08,1.492,0.9335,1
1.1,1.732,0.9673,1
1.23,1.719,0.8927,1
1.1,1.493,0.9435,1
1.09,1.601,0.9091,1
1.23,2.473,0.9175,1
1.23,1.79,0.894,1
1.23,1.863,0.8925,1
1.12,2.489,0.9427,1
1.09,2.33,0.9363,1
1.09,1.849,0.9274,1
1.2,1.944,0.938,1
1.09,1.694,0.9112,1
1.12,2.357,0.916,1
1.09,1.417,0.993,1
1.22,1.945,0.9344,1
1.21,2.224,0.9636,1
1.09,1.421,0.9155,1
1.24,1.646,0.9021,1
1.12,1.986,0.9039,1
1.23,1.831,0.9292,1
1.24,1.718,0.8934,1
1.08,2.278,0.9477,1
1.08,2.497,0.9275,1
1.09,1.775,0.9214,1
1.22,1.769,0.9222,1
1.24,1.76,0.8926,1
1.09,1.63,0.9538,1
1.11,1.94,0.8907,1
1.1,1.715,0.9049,1
1.09,1.536,0.9292,1
1.09,1.592,0.9057,1
1.11,1.496,0.9065,1
1.09,2.215,0.9541,1
1.23,1.7,0.9027,1
1.12,1.918,0.8892,1
1.08,2.503,0.9445,1
1.1,1.252,0.9358,1
1.08,1.816,0.9219,1
1.08,2.146,0.9491,1
1.22,1.695,0.9454,1
1.09,2.494,0.9325,1
1.09,1.798,0.9859,1
1.09,1.609,0.9183,1
1.09,1.213,0.9418,1
1.22,1.754,0.9135,1
1.31,1.981,0.8683,1
1.1,1.83,0.9327,1
1.24,1.674,0.8802,1
1.09,1.856,0.9234,1
1.09,1.593,0.8886,1
1.09,1.8,0.936,1
1.24,1.693,0.8928,1
1.21,1.713,0.9231,1
1.09,1.586,0.9185,1
1.23,1.693,0.899,1
1.09,1.926,0.9467,1
1.08,1.569,0.9542,1
1.22,1.663,0.8993,1
1.1,1.957,0.9401,1
1.09,1.842,0.9435,1
1.08,1.791,0.9971,1
1.24,2.055,0.8855,1
1.09,2.035,0.9085,1
1.24,2.29,0.8822,1
1.08,1.619,0.9324,1
1.08,1.576,0.9318,1
1.09,1.911,0.9033,1
1.23,1.798,0.9047,1
1.09,1.503,0.885,1
1.08,1.578,0.9353,1
1.23,1.73,0.9027,1
1.22,1.437,0.9294,1
1.1,1.843,0.918,1
1.09,1.805,0.9236,1
1.22,1.888,0.9244,1
1.1,1.729,0.9662,1
1.09,1.28,0.9255,1
1.1,1.866,0.8966,1
1.11,1.272,0.9284,1
1.08,1.598,0.9373,1
1.11,1.713,0.8808,1
1.09,1.561,0.8977,1
1.08,1.568,0.8916,1
1.09,1.862,0.8796,1
1.09,2.055,0.8741,1
1.09,1.647,0.9234,1
1.23,1.744,0.943,1
1.09,1.61,0.9031,1
1.09,1.714,0.9467,1
1.22,1.817,0.8766,1
1.08,1.404,0.9147,1
1.31,1.778,0.8891,1
1.23,1.695,0.9213,1
1.24,1.701,0.8914,1
1.09,1.651,0.8924,1
1.24,2.495,0.8925,1
1.09,1.615,0.9335,1
1.22,2.273,0.8952,1
1.23,1.69,0.9169,1
1.12,1.636,0.9041,1
1.23,1.752,0.9472,1
1.09,1.584,0.9707,1
1.22,1.721,0.8904,1
1.1,1.887,0.9167,1
1.08,1.918,0.9328,1
1.1,2.052,0.9168,1
1.23,1.717,0.8933,1
1.22,1.668,0.9275,1
1.1,1.607,0.9252,1
1.1,1.697,0.9128,1
1.08,1.221,0.9178,1
1.24,1.728,0.8929,1
1.09,1.789,0.9311,1
1.09,2.528,0.9156,1
1.09,1.24,0.9378,1
1.09,0.9551,0.9856,1
1.08,1.377,0.9054,1
1.09,1.521,0.8935,1
1.09,1.644,0.9469,1
0.91,1.478,0.9923,1
0.93,1.049,0.7763,1
1.09,1.438,0.7865,1
1.09,1.824,0.7819,1
1.22,1.691,0.8987,1
1.06,1.846,0.9312,1
1.21,1.33,0.9329,1
1.21,1.705,0.9203,1
1.1,1.779,0.9034,1
1.1,1.953,0.9094,1
1.24,1.676,0.9085,1
1.08,1.57,0.9348,1
1.21,1.745,0.9267,1
1.22,1.676,0.9286,1
1.11,1.702,0.8843,1
1.09,1.588,0.9427,1
1.11,1.508,0.8722,1
1.22,1.638,0.9221,1
1.1,1.078,0.9963,1
1.09,1.415,0.9404,1
1.09,2.508,0.9417,1
1.12,1.426,0.8972,1
1.24,2.465,0.8937,1
1.08,1.601,0.957,1
1.31,1.752,0.9123,1
1.22,1.738,0.9174,1
1.08,1.586,0.8973,1
1.22,1.735,0.937,1
1.08,2.407,0.8979,1
1.09,1.401,0.9806,1
1.22,2.399,0.9056,1
1.09,1.465,0.9221,1
1.09,1.415,0.9444,1
1.08,2.204,0.9094,1
1.08,1.746,0.9419,1
1.09,2.305,0.9382,1
1.09,1.673,0.9259,1
1.09,1.182,0.9396,1
1.23,1.577,0.9254,1
1.21,1.616,0.9492,1
1.09,1.683,0.8978,1
1.08,1.592,0.9275,1
1.09,2.189,0.9455,1
1.09,1.819,0.9989,1
1.1,1.536,0.8894,1
1.12,1.023,0.9709,1
1.09,1.379,0.941,1
1.1,1.602,0.8862,1
1.1,1.616,0.9219,1
1.09,1.517,0.9206,1
1.09,1.937,0.8957,1
1.09,1.59,0.9139,1
1.22,1.75,0.9171,1
1.22,1.63,0.8919,1
1.24,1.63,0.885,1
1.24,1.642,0.8952,1
1.1,1.861,0.9079,1
1.09,1.746,0.9338,1
1.08,2.501,0.9083,1
1.08,1.957,0.9941,1
1.09,2.504,0.897,1
1.08,1.7,0.9185,1
1.1,1.919,0.9004,1
1.11,1.635,0.9014,1
1.08,1.795,0.9116,1
1.09,1.902,0.9459,1
1.22,1.899,0.9472,1
1.09,1.6,0.9023,1
1.22,2.304,0.8789,1
1.22,1.646,0.9185,1
1.21,1.395,0.9433,1
1.09,2.244,0.901,1
1.22,1.595,0.9167,1
1.24,2.428,0.8969,1
1.12,1.423,0.9227,1
1.17,1.951,0.8559,1
1.09,1.217,0.9442,1
1.24,1.75,0.8793,1
1.1,1.278,0.9752,1
1.08,1.199,0.9298,1
1.24,2.21,0.8869,1
1.23,1.709,0.9121,1
1.22,1.679,0.9041,1
1.22,1.359,0.9075,1
1.23,1.69,0.9218,1
1.22,1.665,0.8832,1
1.11,1.394,0.9024,1
1.09,0.9658,0.9754,1
1.22,1.331,0.946,1
1.08,1.692,0.9303,1
1.09,1.646,0.9272,1
1.11,1.711,0.8852,1
1.09,1.618,0.9119,1
1.09,1.77,0.9348,1
1.23,1.689,0.9284,1
1.24,2.521,0.8722,1
1.09,1.494,0.947,1
1.22,1.714,0.8997,1
1.09,1.452,0.9194,1
1.22,2.255,0.9036,1
1.22,1.261,0.9386,1
1.09,2.246,0.9192,1
1.09,2.479,0.9124,1
1.11,1.668,0.8866,1
1.09,1.742,0.9955,1
1.11,2.06,0.882,1
1.09,1.575,0.9498,1
1.08,1.825,0.9123,1
1.09,1.791,0.9356,1
1.22,1.981,0.9052,1
1.09,2.489,0.8877,1
1.23,2.2,0.9184,1
1.23,1.704,0.9385,1
1.09,1.606,0.9328,1
1.09,1.596,0.923,1
1.1,1.75,0.8716,1
1.22,1.82,0.9162,1
1.09,1.589,0.8848,1
1.09,1.596,0.9157,1
1.09,1.562,0.9217,1
1.21,1.952,0.9205,1
1.18,1.692,0.9033,1
1.1,1.903,0.8993,1
1.09,1.726,0.9049,1
1.09,1.667,0.9211,1
1.23,1.696,0.8989,1
1.22,1.682,0.8987,1
1.09,1.599,0.9208,1
1.25,2.386,0.8852,1
1.31,1.719,0.9137,1
1.09,1.574,0.8905,1
1.24,1.676,0.8922,1
1.22,1.687,0.9393,1
1.24,1.889,0.8958,1
1.22,1.64,0.9145,1
1.23,1.677,0.9124,1
1.23,1.971,0.9026,1
1.22,2.405,0.9156,1
1.09,1.408,0.933,1
1.09,1.975,0.9418,1
1.23,1.653,0.9039,1
1.23,1.675,0.9169,1
1.09,1.67,0.9065,1
1.09,1.897,0.931,1
1.23,1.651,0.9124,1
1.08,1.754,0.9066,1
1.24,1.642,0.8649,1
1.22,1.841,0.9498,1
1.22,1.914,0.8906,1
1.18,1.24,0.8748,1
1.24,1.668,0.8933,1
1.1,1.258,0.9087,1
1.09,2.141,0.9376,1
1.08,1.919,0.9575,1
1.24,1.77,0.904,1
1.23,1.88,0.9154,1
1.09,1.908,0.9231,1
1.12,2.432,0.918,1
1.21,2.037,0.9412,1
1.1,1.927,0.8953,1
1.09,1.8,0.9323,1
1.22,1.812,0.9073,1
1.09,1.591,0.9387,1
1.23,1.687,0.9275,1
1.31,1.68,0.9004,1
1.09,1.857,0.922,1
1.24,1.664,0.8835,1
1.09,1.682,0.9079,1
1.11,1.722,0.885,1
1.18,1.799,0.8996,1
1.08,1.592,0.9197,1
1.23,1.673,0.9204,1
1.08,1.57,0.9282,1
1.09,1.965,0.9407,1
1.09,1.213,0.8993,1
1.09,1.573,0.9491,1
0.95,1.588,0.9206,1
1.09,1.702,0.8922,1
1.09,1.823,0.9328,1
1.09,2.502,0.8864,1
1.22,1.658,0.8967,1
1.09,1.617,0.914,1
1.22,1.67,0.9035,1
1.09,1.634,0.8846,1
1.09,1.937,0.8961,1
1.23,1.716,0.9342,1
1.08,1.924,0.9565,1
1.09,1.768,0.9292,1
1.22,1.693,0.8769,1
1.12,1.57,0.9111,1
1.22,1.98,0.9201,1
1.09,1.644,0.9303,1
1.23,1.807,0.9512,1
1.08,1.592,0.9343,1
1.23,2.3,0.9462,1
1.09,1.486,0.9188,1
1.12,2.003,0.9028,1
1.23,1.688,0.9264,1
1.09,1.193,0.9857,1
1.24,2.348,0.8932,1
1.09,1.85,0.9409,1
1.11,2.457,0.8787,1
1.09,1.861,0.9753,1
1.09,2.143,0.9108,1
1.23,1.778,0.9322,1
